year;quarter;index;cumprod;;;;;;;;;;;;;;;;;
01.03.2020;I квартал;95,65;0,9565;;;;;;;;;;;;;;;;;
01.06.2020;II квартал;101,71;1,0171;;;;;;;;;;;;;;;;;
01.09.2020;III квартал;105,04;1,0504;;;;;;;;;;;;;;;;;
01.12.2020;IV квартал;121,8;1,218;;;;;;;;;;;;;;;;;
01.03.2021;I квартал;124,33;1,1892;;;;;;;;;;;;;;;;;
01.06.2021;II квартал;132,48;1,3475;;;;;;;;;;;;;;;;;
01.09.2021;III квартал;126,23;1,3259;;;;;;;;;;;;;;;;;
01.12.2021;IV квартал;120;1,4616;;;;;;;;;;;;;;;;;
01.03.2022;I квартал;121,48;1,4447;;;;;;;;;;;;;;;;;
01.06.2022;II квартал;113,58;1,5304;;;;;;;;;;;;;;;;;
01.09.2022;III квартал;110,2;1,4612;;;;;;;;;;;;;;;;;
01.12.2022;IV квартал;107,14;1,566;;;;;;;;;;;;;;;;;
01.03.2023;I квартал;98,96;1,4296;;;;;;;;;;;;;;;;;
01.06.2023;II квартал;99,51;1,5229;;;;;;;;;;;;;;;;;
01.09.2023;III квартал;101,28;1,4799;;;;;;;;;;;;;;;;;
01.12.2023;IV квартал;105,46;1,6515;;;;;;;;;;;;;;;;;
01.03.2024;I квартал;107,62;1,5386;;;;;;;;;;;;;;;;;
01.06.2024;II квартал;;1,5386;;;;;;;;;;;;;;;;;
01.09.2024;III квартал;101,59;1,5472;;;;;;;;;;;;;;;;;
01.12.2024;IIII квартал;;1,5472;;;;;;;;;;;;;;;;;
