Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «троицкая линия метро», by month, 01.03.2020 — 31.01.2025, Moscow and Moscow Oblast, all devices
March 2020;138;0,0000062;
April 2020;89;0,0000035;
May 2020;72;0,0000031;
June 2020;121;0,0000060;
July 2020;242;0,0000126;
August 2020;206;0,0000109;
September 2020;150;0,0000070;
October 2020;167;0,0000069;
November 2020;1 169;0,0000460;
December 2020;3 680;0,0001503;
January 2021;4 014;0,0001784;
February 2021;2 187;0,0001006;
March 2021;4 822;0,0002016;
April 2021;4 680;0,0001947;
May 2021;3 324;0,0001442;
June 2021;7 821;0,0003500;
July 2021;13 523;0,0006019;
August 2021;6 812;0,0002896;
September 2021;10 718;0,0004291;
October 2021;3 448;0,0001354;
November 2021;5 380;0,0002132;
December 2021;7 392;0,0002871;
January 2022;5 434;0,0002067;
February 2022;4 275;0,0001636;
March 2022;5 723;0,0002054;
April 2022;4 020;0,0001553;
May 2022;6 510;0,0002428;
June 2022;9 166;0,0003898;
July 2022;4 771;0,0002125;
August 2022;6 249;0,0002632;
September 2022;5 503;0,0002094;
October 2022;13 583;0,0005208;
November 2022;23 363;0,0008930;
December 2022;15 684;0,0006101;
January 2023;9 401;0,0003820;
February 2023;11 464;0,0005011;
March 2023;16 146;0,0006360;
April 2023;8 648;0,0003805;
May 2023;9 084;0,0004022;
June 2023;12 503;0,0006049;
July 2023;8 064;0,0004035;
August 2023;10 138;0,0005109;
September 2023;8 987;0,0004170;
October 2023;13 169;0,0005430;
November 2023;14 195;0,0006100;
December 2023;11 998;0,0005080;
January 2024;17 329;0,0007026;
February 2024;13 545;0,0006081;
March 2024;14 204;0,0006023;
April 2024;9 247;0,0004251;
May 2024;11 044;0,0005087;
June 2024;18 652;0,0009845;
July 2024;12 100;0,0006574;
August 2024;23 966;0,0012920;
September 2024;62 710;0,0031467;
October 2024;17 267;0,0007734;
November 2024;14 645;0,0006246;
December 2024;32 370;0,0013507;
January 2025;17 723;0,0007561;
