value,reportDate,prettyValue,realty_id,Адрес,URL,Год постройки,Тип дома,Этажность,Строительная серия,Высота потолков,Газоснабжение,Отопление,Тип перекрытий,Подъездов,Количество лифтов,Мусоропроводов,Квартир,Реновация,Аварийность,Детская площадка,Спортивная площадка,Фонд капитального ремонта,Расстояние до первой станции,Расстояние до второй станции,Расстояние до третьей станции,Название первой станции,Название второй станции,Название третьей станции,Ближайшая станция после тритмента расстояние,Ближайшая станция после тритмента,Ближайшая станция до тритмента расстояние,Ближайшая станция до тритмента,Сокращение расстояния,Number of queries,all_goods_cpi,rent_cpi,cum_goods_cpi,cum_rent_cpi,cumprod,discounted_value
220493.0,2020-03-01,220 493 ₽/м²,1,"Москва, улица Саморы Машела, 6",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign,2003,Панельный,22,КОПЭ,2.64,Отсутствует,Центральное,Другие,2.0,"4 пассажирских, 2 грузовых",2,166.0,Нет,Нет,Нет,Нет,На счете регионального оператора,881.0,2370.0,2957.0,Университет Дружбы Народов,Беляево,Тропарёво,881.0,Университет Дружбы Народов,2370.0,Беляево,1489.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,220493.0
174608.0,2020-03-01,174 608 ₽/м²,99,"Москва, улица Академика Арцимовича, 2К2",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%90%D1%80%D1%86%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87%D0%B0%2C+2%D0%9A2&totalArea=43.0&roomsCount=2&offerId=313737828&floor=floorOther&repairType=repairTypeCosmetic,1967,Панельный,9,1605-АМ,2.5,Центральное,Центральное,Железобетонные,4.0,4 пассажирских,4,144.0,Нет,Нет,Да,Да,На специальном счете у регионального оператора,663.0,1050.0,1913.0,Университет Дружбы Народов,Беляево,Коньково,663.0,Университет Дружбы Народов,1050.0,Беляево,387.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,174608.0
245710.0,2020-03-01,245 710 ₽/м²,13,"Москва, улица Островитянова, 9К4",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%82%D1%8F%D0%BD%D0%BE%D0%B2%D0%B0%2C+9%D0%9A4&totalArea=39.0&roomsCount=1&offerId=307912564&floor=floorLast&repairType=repairTypeEuro,2001,Монолитный,17,П-44Т,2.75,Отсутствует,Центральное,Железобетонные,6.0,"6 пассажирских, 6 грузовых",6,367.0,Нет,Нет,Да,Да,На специальном счете организации,1060.0,1937.0,2549.0,Университет Дружбы Народов,Коньково,Беляево,1060.0,Университет Дружбы Народов,1937.0,Коньково,877.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,245710.0
163029.0,2020-03-01,163 029 ₽/м²,85,"Москва, пос. Завода Мосрентген, улица Героя России Соломатина, 5",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D0%BF%D0%BE%D1%81.+%D0%97%D0%B0%D0%B2%D0%BE%D0%B4%D0%B0+%D0%9C%D0%BE%D1%81%D1%80%D0%B5%D0%BD%D1%82%D0%B3%D0%B5%D0%BD%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%93%D0%B5%D1%80%D0%BE%D1%8F+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8+%D0%A1%D0%BE%D0%BB%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%2C+5&totalArea=60.0&roomsCount=3&offerId=312946294&floor=floorOther&repairType=repairTypeCosmetic,1980,Панельный,12,Индивидуальный проект,,Отсутствует,Центральное,Железобетонные,3.0,"6 пассажирских, 3 грузовых",3,168.0,Нет,Нет,Нет,Нет,На счете регионального оператора,1178.0,2938.0,3900.0,Тютчевская,Корниловская,Саларьево,1178.0,Тютчевская,2938.0,Корниловская,1760.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,163029.0
183429.0,2020-03-01,183 429 ₽/м²,51,"Москва, улица Академика Варги, 28",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B0%D1%80%D0%B3%D0%B8%2C+28&totalArea=32.6&roomsCount=1&offerId=307775309&floor=floorOther&repairType=repairTypeDesign,1974,,9,,2.64,Отсутствует,Центральное,Другие,16.0,16 пассажирских,16,576.0,Нет,Нет,Да,Да,На счете регионального оператора,1484.0,1601.0,3235.0,Генерала Тюленева,Тропарёво,Тёплый Стан,1484.0,Генерала Тюленева,1601.0,Тропарёво,117.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,183429.0
177733.0,2020-03-01,177 733 ₽/м²,49,"Москва, улица Академика Варги, 2",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B0%D1%80%D0%B3%D0%B8%2C+2&totalArea=32.5&roomsCount=1&offerId=312295732&floor=floorOne&repairType=repairTypeEuro,1974,Панельный,9,,2.7,Отсутствует,Центральное,Железобетонные,16.0,16 пассажирских,16,575.0,Нет,Нет,Нет,Нет,На счете регионального оператора,1124.0,1655.0,2733.0,Генерала Тюленева,Тропарёво,Тёплый Стан,1124.0,Генерала Тюленева,1655.0,Тропарёво,531.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,177733.0
182212.0,2020-03-01,182 212 ₽/м²,96,"Москва, улица Теплый Стан, 6",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A2%D0%B5%D0%BF%D0%BB%D1%8B%D0%B9+%D0%A1%D1%82%D0%B0%D0%BD%2C+6&totalArea=44.2&roomsCount=2&offerId=313426885&floor=floorOther&repairType=repairTypeCosmetic,1975,Панельный,9,,2.64,Центральное,Центральное,Железобетонные,4.0,4 пассажирских,,143.0,Нет,Нет,Нет,Нет,,377.0,1605.0,3351.0,Генерала Тюленева,Тёплый Стан,Коньково,377.0,Генерала Тюленева,1605.0,Тёплый Стан,1228.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,182212.0
161765.0,2020-03-01,161 765 ₽/м²,86,"Москва, пос. Завода Мосрентген, проезд Музыкальный, 2",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D0%BF%D0%BE%D1%81.+%D0%97%D0%B0%D0%B2%D0%BE%D0%B4%D0%B0+%D0%9C%D0%BE%D1%81%D1%80%D0%B5%D0%BD%D1%82%D0%B3%D0%B5%D0%BD%2C+%D0%BF%D1%80%D0%BE%D0%B5%D0%B7%D0%B4+%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%2C+2&totalArea=63.0&roomsCount=3&offerId=309757665&floor=floorOne&repairType=repairTypeEuro,1982,Кирпичный,9,1-447,2.65,Отсутствует,Центральное,Другие,1.0,1 пассажирский,1,54.0,Нет,Нет,Да,Нет,На счете регионального оператора,1614.0,1894.0,4772.0,Корниловская,Тютчевская,Саларьево,1614.0,Корниловская,1614.0,Корниловская,0.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,161765.0
263670.0,2020-03-01,263 670 ₽/м²,14,"Москва, улица Обручева, 28к6",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%9E%D0%B1%D1%80%D1%83%D1%87%D0%B5%D0%B2%D0%B0%2C+28%D0%BA6&totalArea=41.0&roomsCount=1&offerId=311945204&floor=floorOther&repairType=repairTypeEuro,2005,Панельный,18,КОПЭ,2.64,Отсутствует,Центральное,Другие,2.0,"4 пассажирских, 2 грузовых",2,136.0,Нет,Нет,Нет,Нет,На счете регионального оператора,715.0,2063.0,2928.0,Университет Дружбы Народов,Воронцовская,Новаторская,715.0,Университет Дружбы Народов,2063.0,Воронцовская,1348.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,263670.0
267077.0,2020-03-01,267 077 ₽/м²,47,"Москва, улица Академика Виноградова, 1",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%2C+1&totalArea=102.2&roomsCount=3&offerId=311371966&floor=floorOther&repairType=repairTypeEuro,2011,Монолитный,23,Индивидуальный проект,2.8,Отсутствует,Центральное,Железобетонные,5.0,"5 пассажирских, 5 грузовых",5,321.0,Нет,Нет,Да,Да,На счете регионального оператора,880.0,2434.0,3811.0,Генерала Тюленева,Тёплый Стан,Коньково,880.0,Генерала Тюленева,2434.0,Тёплый Стан,1554.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,267077.0
