Станция,Расстояние (м),Тип транспорта,Время в пути (мин),realtyId
Университет Дружбы Народов,881.0,Пешком,11,1
Тропарёво,2957.0,На машине,4,1
Беляево,2370.0,На машине,5,1
Калужская,1311.0,Пешком,15,2
Университет Дружбы Народов,1297.0,Пешком,16,2
Воронцовская,1483.0,Пешком,17,2
Университет Дружбы Народов,978.0,Пешком,13,3
Новаторская,2680.0,На машине,4,3
Воронцовская,1816.0,На машине,5,3
Коньково,1450.0,Пешком,17,4
Университет Дружбы Народов,1516.0,Пешком,17,4
Беляево,2377.0,На машине,4,4
Коньково,944.0,Пешком,11,5
Беляево,1266.0,Пешком,17,5
Университет Дружбы Народов,1659.0,Пешком,19,5
Беляево,818.0,Пешком,10,6
Калужская,1285.0,Пешком,15,6
Университет Дружбы Народов,1481.0,Пешком,18,6
Университет Дружбы Народов,930.0,Пешком,11,7
Беляево,1169.0,Пешком,17,7
Коньково,1450.0,Пешком,17,7
Университет Дружбы Народов,1482.0,Пешком,18,8
Тропарёво,1454.0,Пешком,19,8
Коньково,2046.0,На машине,3,8
Беляево,1460.0,Пешком,17,9
Калужская,1392.0,Пешком,17,9
Университет Дружбы Народов,1437.0,Пешком,17,9
Тропарёво,1205.0,Пешком,15,10
Коньково,2450.0,На машине,4,10
Юго-Западная,2764.0,На машине,4,10
Юго-Западная,1029.0,Пешком,13,11
Университет Дружбы Народов,1548.0,Пешком,19,11
Новаторская,2708.0,На машине,4,11
Юго-Западная,998.0,Пешком,12,12
Университет Дружбы Народов,1854.0,На машине,3,12
Новаторская,3134.0,На машине,4,12
Коньково,617.0,Пешком,7,13
Беляево,860.0,Пешком,12,13
Тёплый Стан,2680.0,На машине,4,13
Университет Дружбы Народов,1060.0,Пешком,12,14
Калужская,1542.0,Пешком,19,14
Воронцовская,1752.0,На машине,4,14
Университет Дружбы Народов,1106.0,Пешком,13,15
Тропарёво,2739.0,На машине,4,15
Коньково,2607.0,На машине,5,15
Университет Дружбы Народов,930.0,Пешком,11,17
Беляево,1169.0,Пешком,17,17
Коньково,1450.0,Пешком,17,17
Университет Дружбы Народов,751.0,Пешком,9,18
Коньково,2133.0,На машине,4,18
Тропарёво,3079.0,На машине,4,18
Университет Дружбы Народов,881.0,Пешком,11,19
Тропарёво,2957.0,На машине,4,19
Беляево,2370.0,На машине,5,19
Университет Дружбы Народов,1060.0,Пешком,12,20
Тропарёво,2809.0,На машине,3,20
Беляево,2511.0,На машине,5,20
Университет Дружбы Народов,1106.0,Пешком,13,21
Тропарёво,2739.0,На машине,4,21
Коньково,2607.0,На машине,5,21
Университет Дружбы Народов,1213.0,Пешком,14,22
Тропарёво,2599.0,На машине,4,22
Коньково,2467.0,На машине,5,22
Университет Дружбы Народов,998.0,Пешком,12,23
Беляево,2498.0,На машине,5,23
Коньково,2809.0,На машине,5,23
Университет Дружбы Народов,614.0,Пешком,7,24
Беляево,1203.0,Пешком,15,24
Коньково,2229.0,На машине,3,24
Университет Дружбы Народов,1060.0,Пешком,12,25
Коньково,1937.0,На машине,3,25
Беляево,2549.0,На машине,4,25
Университет Дружбы Народов,930.0,Пешком,11,26
Беляево,1169.0,Пешком,17,26
Коньково,1450.0,Пешком,17,26
Университет Дружбы Народов,715.0,Пешком,8,27
Воронцовская,2063.0,На машине,5,27
Новаторская,2928.0,На машине,5,27
Университет Дружбы Народов,978.0,Пешком,13,28
Новаторская,2680.0,На машине,4,28
Воронцовская,1816.0,На машине,5,28
Университет Дружбы Народов,978.0,Пешком,13,29
Новаторская,2680.0,На машине,4,29
Воронцовская,1816.0,На машине,5,29
Университет Дружбы Народов,1060.0,Пешком,12,30
Калужская,1542.0,Пешком,19,30
Воронцовская,1752.0,На машине,4,30
Университет Дружбы Народов,480.0,Пешком,6,31
Беляево,950.0,Пешком,11,31
Калужская,2251.0,На машине,4,31
Университет Дружбы Народов,527.0,Пешком,7,32
Беляево,1228.0,Пешком,15,32
Калужская,1953.0,На машине,4,32
Университет Дружбы Народов,715.0,Пешком,8,33
Беляево,1354.0,Пешком,16,33
Воронцовская,1952.0,На машине,4,33
Университет Дружбы Народов,825.0,Пешком,10,34
Беляево,1302.0,Пешком,15,34
Воронцовская,1837.0,На машине,3,34
Университет Дружбы Народов,889.0,Пешком,10,35
Беляево,1180.0,Пешком,13,35
Воронцовская,1935.0,На машине,4,35
Университет Дружбы Народов,823.0,Пешком,10,36
Беляево,1180.0,Пешком,12,36
Калужская,1986.0,На машине,5,36
Университет Дружбы Народов,751.0,Пешком,9,37
Беляево,1139.0,Пешком,13,37
Коньково,1575.0,Пешком,18,37
Университет Дружбы Народов,1134.0,Пешком,13,38
Тропарёво,2522.0,На машине,3,38
Коньково,2121.0,На машине,4,38
Университет Дружбы Народов,1060.0,Пешком,12,39
Беляево,1194.0,Пешком,16,39
Коньково,1407.0,Пешком,16,39
Университет Дружбы Народов,1317.0,Пешком,14,40
Коньково,2144.0,На машине,4,40
Тропарёво,2423.0,На машине,4,40
Университет Дружбы Народов,1317.0,Пешком,14,41
Коньково,2144.0,На машине,4,41
Тропарёво,2423.0,На машине,4,41
Университет Дружбы Народов,1324.0,Пешком,15,42
Коньково,1874.0,На машине,3,42
Тропарёво,2496.0,На машине,3,42
Университет Дружбы Народов,1482.0,Пешком,18,43
Тропарёво,1454.0,Пешком,19,43
Коньково,2046.0,На машине,3,43
Университет Дружбы Народов,1213.0,Пешком,14,44
Коньково,1317.0,Пешком,16,44
Беляево,1340.0,Пешком,17,44
