year;month;All_goods;rent_2rooms_per_month
2020;январь;100,45;100
2020;февраль;100,27;100
2020;март;100,48;100
2020;апрель;100,65;100
2020;май;100,43;100
2020;июнь;100,47;99,29
2020;июль;100,11;100
2020;август;99,91;100
2020;сентябрь;100,03;100
2020;октябрь;100,21;100
2020;ноябрь;100,7;100
2020;декабрь;100,85;100
2021;январь;100,84;100
2021;февраль;100,83;100
2021;март;100,66;100
2021;апрель;100,47;102,71
2021;май;100,97;101,82
2021;июнь;100,93;100,58
2021;июль;99,97;100
2021;август;99,87;106,98
2021;сентябрь;100,32;100
2021;октябрь;100,86;100
2021;ноябрь;100,73;114,65
2021;декабрь;101,25;97,55
2022;январь;100,63;100
2022;февраль;101,44;100
2022;март;108,2;102,48
2022;апрель;101,5;98,56
2022;май;100,38;100,36
2022;июнь;99,65;99,12
2022;июль;98,93;100,06
2022;август;99,17;100,06
2022;сентябрь;99,76;100,37
2022;октябрь;99,83;100
2022;ноябрь;100,28;99,72
2022;декабрь;100,52;99,68
2023;январь;100,61;100
2023;февраль;100,42;100,31
2023;март;100,08;100,09
2023;апрель;100,05;100,33
2023;май;99,93;100,97
2023;июнь;100,37;100,58
2023;июль;100,64;102,2
2023;август;100,35;103,94
2023;сентябрь;100,73;103,68
2023;октябрь;100,67;104,32
2023;ноябрь;101,3;106,7
2023;декабрь;100,98;98,96
2024;январь;100,95;100,79
2024;февраль;100,72;101,51
2024;март;100,23;101,26
2024;апрель;100,63;99,84
2024;май;100,66;99,46
2024;июнь;100,58;101,73
2024;июль;100,54;100,19
2024;август;100,21;106,75
2024;сентябрь;100,38;100,44
2024;октябрь;100,81;101,77
2024;ноябрь;101,48;99,51
2024;декабрь;101,68;101,03
2025;январь;;103,99
