Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «троицкая линия метро», by month, 01.03.2020 — 31.01.2025, all regions, all devices
March 2020;145;0,00000148;
April 2020;104;0,00000087;
May 2020;89;0,00000083;
June 2020;140;0,00000157;
July 2020;285;0,00000340;
August 2020;231;0,00000277;
September 2020;165;0,00000174;
October 2020;171;0,00000159;
November 2020;1 252;0,00001098;
December 2020;3 965;0,00003609;
January 2021;4 242;0,00004090;
February 2021;2 360;0,00002375;
March 2021;5 047;0,00004664;
April 2021;4 886;0,00004560;
May 2021;3 581;0,00003492;
June 2021;8 302;0,00008418;
July 2021;15 217;0,00015781;
August 2021;7 491;0,00007517;
September 2021;11 447;0,00010748;
October 2021;3 829;0,00003387;
November 2021;5 839;0,00005069;
December 2021;8 106;0,00006882;
January 2022;5 887;0,00004969;
February 2022;4 637;0,00003949;
March 2022;6 103;0,00004817;
April 2022;4 312;0,00003630;
May 2022;6 927;0,00005842;
June 2022;9 903;0,00009297;
July 2022;5 384;0,00005197;
August 2022;6 974;0,00006514;
September 2022;6 155;0,00005295;
October 2022;14 684;0,00011944;
November 2022;24 961;0,00019904;
December 2022;17 100;0,00013679;
January 2023;10 806;0,00008825;
February 2023;12 911;0,00011388;
March 2023;18 245;0,00014761;
April 2023;9 486;0,00008268;
May 2023;10 085;0,00008971;
June 2023;14 051;0,00013794;
July 2023;9 180;0,00009161;
August 2023;11 598;0,00011623;
September 2023;10 264;0,00009602;
October 2023;14 628;0,00012339;
November 2023;15 790;0,00013540;
December 2023;13 278;0,00011195;
January 2024;19 351;0,00016160;
February 2024;15 252;0,00013675;
March 2024;15 879;0,00013859;
April 2024;10 367;0,00009620;
May 2024;12 641;0,00011946;
June 2024;21 350;0,00023024;
July 2024;14 210;0,00015380;
August 2024;28 204;0,00030382;
September 2024;78 510;0,00079560;
October 2024;19 733;0,00017689;
November 2024;17 202;0,00014887;
December 2024;38 138;0,00031973;
January 2025;20 747;0,00017593;
